runtime,title,directors,genres
50.0,Wings of Courage,Jean-Jacques Annaud,"Adventure,Romance"
89.0,Babe,Chris Noonan,"Comedy,Drama,Family"
121.0,Carrington,Christopher Hampton,"Biography,Drama,Romance"
122.0,Dead Man Walking,Tim Robbins,"Crime,Drama"
51.0,Across the Sea of Time,Stephen Low,"Adventure,Drama,Family"
101.0,It Takes Two,Andy Tennant,"Comedy,Family,Romance"
97.0,Clueless,Amy Heckerling,"Comedy,Romance"
106.0,"Cry, the Beloved Country",Darrell Roodt,"Drama,Thriller"
104.0,Richard III,Richard Loncraine,"Drama,Sci-Fi,War"
119.0,Dead Presidents,"Albert Hughes, Allen Hughes","Action,Crime,Drama"
117.0,Restoration,Michael Hoffman,"Biography,Drama,History"
101.0,Mortal Kombat,Paul W.S. Anderson,"Action,Adventure,Fantasy"
106.0,To Die For,Gus Van Sant,"Comedy,Crime,Drama"
116.0,How To Make An American Quilt,Jocelyn Moorhouse,"Comedy,Drama,Romance"
127.0,Se7en,David Fincher,"Crime,Drama,Mystery"
81.0,Pocahontas,"Mike Gabriel, Eric Goldberg","Adventure,Animation,Drama"
96.0,When Night Is Falling,Patricia Rozema,"Drama,Romance"
106.0,The Usual Suspects,Bryan Singer,"Crime,Drama,Mystery"
93.0,Guardian Angel,Richard W. Munchkin,"Action,Drama,Thriller"
95.0,Mighty Aphrodite,Woody Allen,"Comedy,Fantasy,Romance"
116.0,Lamerica,Gianni Amelio,"Comedy,Drama"
100.0,The Big Green,Holly Goldberg Sloan,"Comedy,Family,Sport"
115.0,Georgia,Ulu Grosbard,"Drama,Music"
89.0,Kids of the Round Table,Robert Tinnell,"Adventure,Comedy,Family"
103.0,Home for the Holidays,Jodie Foster,"Comedy,Drama,Romance"
108.0,The Postman,Michael Radford,"Biography,Comedy,Drama"
100.0,The Confessional,Robert Lepage,"Drama,Mystery,Thriller"
96.0,The Indian in the Cupboard,Frank Oz,"Drama,Family,Fantasy"
101.0,Eye for an Eye,John Schlesinger,"Crime,Drama,Thriller"
137.0,Mr. Holland's Opus,Stephen Herek,"Drama,Music"
89.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Paris Barclay,"Comedy,Crime"
96.0,Two If by Sea,Bill Bennett,"Comedy,Crime,Romance"
88.0,Bio-Dome,Jason Bloom,Comedy
92.0,Lawnmower Man 2: Beyond Cyberspace,Farhad Mann,"Action,Sci-Fi,Thriller"
85.0,Two Bits,James Foley,"Comedy,Drama"
95.0,French Twist,Josiane Balasko,"Comedy,Romance"
91.0,Friday,F. Gary Gray,"Comedy,Drama"
108.0,From Dusk Till Dawn,Robert Rodriguez,"Action,Crime,Horror"
91.0,Fair Game,Andrew Sipes,"Action,Romance,Thriller"
96.0,Kicking and Screaming,Noah Baumbach,"Comedy,Drama,Romance"
175.0,Les Miserables,Claude Lelouch,"Comedy,Drama,History"
87.0,Bed of Roses,Michael Goldenberg,"Drama,Romance"
90.0,Big Bully,Steve Miner,"Comedy,Thriller"
108.0,Screamers,Christian Duguay,"Horror,Sci-Fi,Thriller"
70.0,Nico Icon,Susanne Ofteringer,"Biography,Documentary,Music"
111.0,The Crossing Guard,Sean Penn,"Drama,Thriller"
118.0,The Juror,Brian Gibson,"Crime,Drama,Thriller"
85.0,The White Balloon,Jafar Panahi,"Drama,Family"
116.0,Things to Do in Denver When You're Dead,Gary Fleder,"Crime,Drama,Thriller"
102.0,Antonia's Line,Marleen Gorris,"Comedy,Drama"
115.0,Once Upon a Time... When We Were Colored,Tim Reid,"Drama,Romance"
108.0,Last Summer in the Hamptons,Henry Jaglom,"Comedy,Drama"
118.0,Angels and Insects,Philip Haas,"Drama,Romance"
129.0,White Squall,Ridley Scott,"Adventure,Drama"
88.0,Dunston Checks In,Ken Kwapis,"Adventure,Comedy,Family"
87.0,Black Sheep,Penelope Spheeris,Comedy
90.0,Nick of Time,John Badham,"Action,Crime,Drama"
91.0,The Journey of August King,John Duigan,Drama
104.0,Mary Reilly,Stephen Frears,"Drama,Horror,Romance"
100.0,Vampire in Brooklyn,Wes Craven,"Comedy,Fantasy,Horror"
112.0,Beautiful Girls,Ted Demme,"Comedy,Drama,Romance"
108.0,Broken Arrow,John Woo,"Action,Adventure,Thriller"
99.0,A Midwinter's Tale,Kenneth Branagh,Comedy
98.0,La Haine,Mathieu Kassovitz,"Crime,Drama"
105.0,Shopping,Paul W.S. Anderson,"Action,Crime,Drama"
106.0,Heidi Fleiss: Hollywood Madam,,
111.0,City Hall,Harold Becker,"Crime,Drama,Mystery"
91.0,Bottle Rocket,Wes Anderson,"Comedy,Crime,Drama"
96.0,Mr. Wrong,Nick Castle,"Comedy,Romance"
106.0,Unforgettable,John Dahl,"Drama,Mystery,Sci-Fi"
92.0,Happy Gilmore,Dennis Dugan,"Comedy,Sport"
135.0,The Bridges of Madison County,Clint Eastwood,"Drama,Romance"
104.0,Nobody Loves Me,Doris Dörrie,"Comedy,Drama"
100.0,Muppet Treasure Island,Brian Henson,"Action,Adventure,Comedy"
95.0,Catwalk,"Milton Moses Ginsberg, Robert Leacock",Documentary
110.0,Headless Body in Topless Bar,James Bruce,"Comedy,Crime,Drama"
177.0,Braveheart,Mel Gibson,"Biography,Drama,War"
114.0,Taxi Driver,Martin Scorsese,"Crime,Drama"
91.0,Rumble in the Bronx,Stanley Tong,"Action,Comedy,Crime"
108.0,Before and After,Barbet Schroeder,"Crime,Drama,Mystery"
114.0,Margaret's Museum,Mort Ransen,Drama
106.0,Happiness Is in the Field,Étienne Chatiliez,Comedy
117.0,Anne Frank Remembered,Jon Blair,"Biography,Documentary,War"
99.0,The Young Poisoner's Handbook,Benjamin Ross,"Comedy,Crime,Drama"
92.0,If Lucy Fell,Eric Schaeffer,"Comedy,Romance"
113.0,Steal Big Steal Little,Andrew Davis,Comedy
100.0,Race the Sun,Charles T. Kanganis,"Adventure,Comedy,Drama"
90.0,The Boys of St. Vincent,,
117.0,Boomerang,Reginald Hudlin,"Comedy,Drama,Romance"
102.0,Chungking Express,Wong Kar-Wai,"Comedy,Crime,Drama"
113.0,The Star Maker,Giuseppe Tornatore,"Drama,Romance"
92.0,Flirting with Disaster,David O. Russell,Comedy
95.0,The Neverending Story III: Escape from Fantasia,Peter MacDonald,"Adventure,Comedy,Family"
116.0,The Silences of the Palace,Moufida Tlatli,Drama
87.0,Jupiter's Wife,Michel Negroponte,"Biography,Documentary,Mystery"
95.0,Pie in the Sky,Bryan Gordon,"Comedy,Romance"
99.0,Angela,Rebecca Miller,Drama
101.0,Frankie Starlight,Michael Lindsay-Hogg,"Drama,Romance,War"
95.0,Jade,William Friedkin,"Crime,Drama,Thriller"
102.0,Nueba Yol,Ángel Muñiz,"Comedy,Drama"
87.0,Sonic Outlaws,Craig Baldwin,Documentary
92.0,Down Periscope,David S. Ward,Comedy
97.0,From the Journals of Jean Seberg,Mark Rappaport,"Biography,Documentary"
86.0,Man of the Year,Dirk Shafer,"Comedy,Romance"
91.0,The Neon Bible,Terence Davies,Drama
122.0,Target,Sandip Ray,Drama
119.0,Up Close & Personal,Jon Avnet,"Drama,Romance"
117.0,The Birdcage,Mike Nichols,Comedy
125.0,Virgin Mary,Jakov Sedlar,"Drama,History"
98.0,The Brothers McMullen,Edward Burns,"Comedy,Drama,Romance"
118.0,Bad Boys,Michael Bay,"Action,Comedy,Crime"
81.0,The Amazing Panda Adventure,Christopher Cain,"Adventure,Drama,Family"
102.0,The Basketball Diaries,Scott Kalvert,"Biography,Crime,Drama"
113.0,An Awfully Big Adventure,Mike Newell,"Comedy,Drama,Romance"
105.0,Amateur,Hal Hartley,"Comedy,Crime,Drama"
140.0,Apollo 13,Ron Howard,"Adventure,Drama,History"
139.0,Rob Roy,Michael Caton-Jones,"Adventure,Biography,Drama"
82.0,The Addiction,Abel Ferrara,"Drama,Horror"
121.0,Batman Forever,Joel Schumacher,"Action,Adventure"
101.0,Belle de Jour,Luis Buñuel,"Drama,Romance"
100.0,Beyond Rangoon,John Boorman,"Action,Adventure,Drama"
83.0,Blue in the Face,"Paul Auster, Wayne Wang, Harvey Wang",Comedy
91.0,Canadian Bacon,Michael Moore,"Action,Comedy"
100.0,Casper,Brad Silberling,"Comedy,Family,Fantasy"
128.0,Clockers,Spike Lee,"Crime,Drama,Mystery"
109.0,Congo,Frank Marshall,"Action,Adventure,Mystery"
116.0,Crimson Tide,Tony Scott,"Action,Drama,Thriller"
119.0,Crumb,Terry Zwigoff,"Biography,Comedy,Documentary"
104.0,Desperado,Robert Rodriguez,"Action,Crime,Drama"
102.0,Devil in a Blue Dress,Carl Franklin,"Crime,Drama,Mystery"
128.0,Die Hard: With a Vengeance,John McTiernan,"Action,Adventure,Thriller"
80.0,The Doom Generation,Gregg Araki,"Comedy,Crime,Drama"
116.0,Feast of July,Christopher Menaul,"Crime,Drama,Mystery"
134.0,First Knight,Jerry Zucker,"Action,Adventure,Drama"
95.0,Free Willy 2 - The Adventure Home,Dwight H. Little,"Adventure,Drama,Family"
107.0,Hackers,Iain Softley,"Crime,Drama,Romance"
92.0,Jeffrey,Christopher Ashley,"Comedy,Drama"
97.0,Johnny Mnemonic,Robert Longo,"Action,Drama,Sci-Fi"
96.0,Judge Dredd,Danny Cannon,"Action,Crime,Sci-Fi"
88.0,Jury Duty,John Fortenberry,Comedy
91.0,Kids,Larry Clark,Drama
89.0,Living in Oblivion,Tom DiCillo,"Comedy,Drama"
119.0,Lord of Illusions,Clive Barker,"Horror,Mystery,Thriller"
100.0,Love & Human Remains,Denys Arcand,"Comedy,Drama"
95.0,Mad Love,Antonia Bird,"Comedy,Drama,Romance"
94.0,Mallrats,Kevin Smith,"Comedy,Romance"
92.0,Mighty Morphin Power Rangers: The Movie,Bryan Spicer,"Action,Adventure,Family"
100.0,Moonlight and Valentino,David Anspaugh,"Comedy,Drama,Romance"
95.0,Mute Witness,Anthony Waller,"Crime,Horror,Thriller"
93.0,Nadja,Michael Almereyda,"Drama,Horror,Mystery"
114.0,The Net,Irwin Winkler,"Action,Crime,Drama"
103.0,Nine Months,Chris Columbus,"Comedy,Romance"
94.0,Party Girl,Daisy von Scherler Mayer,"Comedy,Drama,Romance"
98.0,The Prophecy,Gregory Widen,"Action,Crime,Drama"
91.0,Reckless,Norman René,"Comedy,Drama,Fantasy"
119.0,Safe,Todd Haynes,Drama
135.0,The Scarlet Letter,Roland Joffé,"Drama,Romance"
93.0,The Show,Brian Robbins,"Documentary,Music"
128.0,Showgirls,Paul Verhoeven,Drama
112.0,Smoke,Wayne Wang,"Comedy,Drama"
106.0,Something to Talk About,Lasse Hallström,"Comedy,Drama,Romance"
108.0,Species,Roger Donaldson,"Action,Horror,Sci-Fi"
109.0,The Stars Fell on Henrietta,James Keach,Drama
145.0,Strange Days,Kathryn Bigelow,"Crime,Drama,Sci-Fi"
91.0,The Umbrellas of Cherbourg,Jacques Demy,"Drama,Musical,Romance"
99.0,The Tie That Binds,Wesley Strick,"Crime,Drama,Thriller"
115.0,Three Wishes,Martha Coolidge,"Drama,Family,Fantasy"
111.0,Total Eclipse,Agnieszka Holland,"Biography,Drama,Romance"
105.0,"To Wong Foo, Thanks for Everything! Julie Newmar",Beeban Kidron,"Comedy,Drama"
100.0,Under Siege 2: Dark Territory,Geoff Murphy,"Action,Adventure,Thriller"
93.0,Unstrung Heroes,Diane Keaton,"Comedy,Drama"
73.0,Unzipped,Douglas Keeve,Documentary
103.0,A Walk in the Clouds,Alfonso Arau,"Drama,Romance"
135.0,Waterworld,Kevin Reynolds,"Action,Adventure,Sci-Fi"
89.0,White Man's Burden,Desmond Nakano,"Drama,Thriller"
98.0,Wild Bill,Walter Hill,"Action,Biography,Drama"
97.0,The Browning Version,Mike Figgis,Drama
90.0,Bushwhacked,Greg Beeman,"Adventure,Comedy,Crime"
135.0,Burnt by the Sun,Nikita Mikhalkov,"Drama,War"
113.0,Before the Rain,Milcho Manchevski,"Drama,Romance,War"
105.0,Before Sunrise,Richard Linklater,"Comedy,Drama,Romance"
89.0,Billy Madison,Tamra Davis,Comedy
90.0,The Babysitter,Guy Ferland,"Drama,Thriller"
115.0,Boys on the Side,Herbert Ross,"Comedy,Drama"
97.0,The Cure,Peter Horton,"Adventure,Drama"
95.0,Castle Freak,,
103.0,Circle of Friends,Pat O'Connor,"Drama,Romance"
92.0,Clerks,Kevin Smith,Comedy
97.0,Don Juan DeMarco,Jeremy Leven,"Comedy,Drama,Romance"
123.0,Disclosure,Barry Levinson,"Drama,Thriller"
0.0,Dream Man,,
101.0,Drop Zone,John Badham,"Action,Adventure,Thriller"
0.0,Destiny Turns on the Radio,Jack Baran,"Comedy,Crime,Fantasy"
103.0,Death and the Maiden,Roman Polanski,"Drama,Mystery,Thriller"
132.0,Dolores Claiborne,Taylor Hackford,"Crime,Drama,Mystery"
107.0,Dumb and Dumber,"Peter Farrelly, Bobby Farrelly",Comedy
123.0,Eat Drink Man Woman,Ang Lee,"Comedy,Drama,Romance"
103.0,Exotica,Atom Egoyan,Drama
113.0,Exit to Eden,Garry Marshall,"Comedy,Crime,Romance"
127.0,Ed Wood,Tim Burton,"Biography,Comedy,Drama"
111.0,French Kiss,Lawrence Kasdan,"Comedy,Drama,Romance"
101.0,Forget Paris,Billy Crystal,"Comedy,Romance"
87.0,Far from Home: The Adventures of Yellow Dog,Phillip Borsos,"Adventure,Family"
78.0,A Goofy Movie,Kevin Lima,"Adventure,Animation,Comedy"
103.0,Hideaway,Brett Leonard,"Fantasy,Horror,Thriller"
96.0,Fluke,Carlo Carlei,"Drama,Family,Fantasy"
111.0,Farinelli,Gérard Corbiau,"Biography,Drama,History"
90.0,Gordy,Mark Lewis,"Comedy,Drama,Family"
77.0,Gumby: The Movie,Art Clokey,"Adventure,Animation,Comedy"
109.0,The Glass Shield,Charles Burnett,"Crime,Drama"
171.0,Hoop Dreams,Steve James,"Documentary,Drama,Sport"
99.0,Heavenly Creatures,Peter Jackson,"Biography,Crime,Drama"
113.0,Houseguest,Randall Miller,Comedy
121.0,Immortal Beloved,Bernard Rose,"Biography,Drama,Music"
100.0,Heavyweights,Steven Brill,"Comedy,Drama,Family"
106.0,The Hunted,J.F. Lawton,"Action,Drama,Thriller"
100.0,I.Q.,Fred Schepisi,"Comedy,Romance"
123.0,Interview with the Vampire,Neil Jordan,"Drama,Fantasy,Horror"
139.0,Jefferson in Paris,James Ivory,"Biography,Drama,History"
82.0,The Jerky Boys,James Melkonian,"Comedy,Crime"
109.0,Junior,Ivan Reitman,"Comedy,Romance,Sci-Fi"
102.0,Just Cause,Arne Glimcher,"Action,Crime,Drama"
89.0,A Kid in King Arthur's Court,Michael Gottlieb,"Adventure,Comedy,Family"
101.0,Kiss of Death,Barbet Schroeder,"Crime,Drama,Thriller"
121.0,Star Wars,George Lucas,"Action,Adventure,Fantasy"
115.0,Little Women,Gillian Armstrong,"Drama,Family,Romance"
97.0,A Little Princess,Alfonso Cuarón,"Drama,Family,Fantasy"
101.0,Ladybird Ladybird,Ken Loach,Drama
100.0,L'Enfer,Claude Chabrol,"Crime,Drama,Thriller"
105.0,Like Water for Chocolate,Alfonso Arau,"Drama,Romance"
133.0,Legends of the Fall,Edward Zwick,"Drama,Romance,War"
95.0,Major Payne,Nick Castle,"Adventure,Comedy,Family"
98.0,Little Odessa,James Gray,"Crime,Drama"
92.0,Mi Vida Loca,Allison Anders,"Crime,Drama"
108.0,Love Affair,Glenn Gordon Caron,"Comedy,Drama,Romance"
106.0,Losing Isaiah,Stephen Gyllenhaal,Drama
107.0,The Madness of King George,Nicholas Hytner,"Biography,Comedy,Drama"
123.0,Mary Shelley's Frankenstein,Kenneth Branagh,"Drama,Horror,Romance"
96.0,Man of the House,James Orr,"Comedy,Family"
97.0,Mixed Nuts,Nora Ephron,"Comedy,Drama"
108.0,Milk Money,Richard Benjamin,"Comedy,Romance"
114.0,Miracle on 34th Street,Les Mayfield,"Drama,Family,Fantasy"
95.0,Miami Rhapsody,David Frankel,"Comedy,Romance"
128.0,My Family,Gregory Nava,Drama
122.0,Murder in the First,Marc Rocco,"Drama,Thriller"
110.0,Nobody's Fool,Robert Benton,"Comedy,Drama"
112.0,Nell,Michael Apted,Drama
98.0,New Jersey Drive,Nick Gomez,"Crime,Drama"
93.0,New York Cop,Tôru Murakawa,"Action,Crime,Drama"
89.0,Beyond Bedlam,Vadim Jean,"Comedy,Horror,Mystery"
83.0,Nemesis 2 - Nebula,,
100.0,Nina Takes a Lover,Alan Jacobs,"Comedy,Drama,Romance"
119.0,Natural Born Killers,Oliver Stone,"Crime,Romance"
115.0,Only You,Norman Jewison,"Comedy,Romance"
99.0,Once Were Warriors,Lee Tamahori,"Crime,Drama"
106.0,Poison Ivy II: Lily,,
127.0,Outbreak,Wolfgang Petersen,"Action,Drama,Thriller"
110.0,Leon: The Professional,Luc Besson,"Action,Crime,Drama"
113.0,The Perez Family,Mira Nair,"Comedy,Drama,Romance"
94.0,A Pyromaniac's Love Story,Joshua Brand,"Comedy,Romance"
154.0,Pulp Fiction,Quentin Tarantino,"Crime,Drama"
124.0,Panther,Mario Van Peebles,Drama
105.0,Pushing Hands,Ang Lee,"Comedy,Drama"
98.0,Priest,Antonia Bird,"Drama,Romance"
133.0,Quiz Show,Robert Redford,"Biography,Drama,History"
94.0,Picture Bride,Kayo Hatta,"Drama,Romance"
162.0,Queen Margot,Patrice Chéreau,"Biography,Drama,History"
107.0,The Quick and the Dead,Sam Raimi,"Action,Drama,Romance"
108.0,Roommates,Peter Yates,"Comedy,Drama"
133.0,Prêt-à-Porter,Robert Altman,"Comedy,Drama"
99.0,Three Colors: Red,Krzysztof Kieslowski,"Drama,Mystery,Romance"
98.0,Three Colors: Blue,Krzysztof Kieslowski,"Drama,Music,Mystery"
91.0,Three Colors: White,Krzysztof Kieslowski,"Comedy,Drama,Romance"
111.0,"Red Firecracker, Green Firecracker",Ping He,"Drama,Romance"
85.0,Rent-a-Kid,,
90.0,Relative Fear,George Mihalka,"Drama,Horror,Thriller"
95.0,Stuart Saves His Family,Harold Ramis,"Comedy,Drama"
89.0,The Swan Princess,Richard Rich,"Adventure,Animation,Comedy"
97.0,The Secret of Roan Inish,John Sayles,"Drama,Family,Fantasy"
110.0,The Specialist,Luis Llosa,"Action,Drama,Thriller"
121.0,Stargate,Roland Emmerich,"Action,Adventure,Sci-Fi"
97.0,The Santa Clause,John Pasquin,"Comedy,Drama,Family"
142.0,The Shawshank Redemption,Frank Darabont,Drama
92.0,Shallow Grave,Danny Boyle,"Crime,Drama,Thriller"
96.0,Suture,"Scott McGehee, David Siegel","Drama,Thriller"
108.0,Strawberry and Chocolate,"Tomás Gutiérrez Alea, Juan Carlos Tabío","Comedy,Drama,Romance"
101.0,Swimming with Sharks,George Huang,"Comedy,Crime"
100.0,The Sum of Us,"Geoff Burton, Kevin Dowling","Comedy,Drama"
91.0,Senior Trip,Kelly Makin,"Adventure,Comedy"
125.0,To Live,Yimou Zhang,"Drama,War"
98.0,Tank Girl,Rachel Talalay,"Action,Comedy,Sci-Fi"
92.0,Tales from the Crypt: Demon Knight,Ernest R. Dickerson,"Action,Fantasy,Horror"
118.0,Star Trek: Generations,David Carson,"Action,Adventure,Mystery"
98.0,Tales from the Hood,Rusty Cundieff,"Crime,Drama,Horror"
115.0,Tom & Viv,Brian Gilbert,"Biography,Drama,Romance"
99.0,Village of the Damned,John Carpenter,"Horror,Sci-Fi,Thriller"
97.0,Tommy Boy,Peter Segal,"Adventure,Comedy"
119.0,Vanya on 42nd Street,Louis Malle,"Comedy,Drama,Romance"
99.0,The Underneath,Steven Soderbergh,"Crime,Thriller"
88.0,The Walking Dead,Preston A. Whitmore II,"Action,Drama,War"
118.0,What's Eating Gilbert Grape,Lasse Hallström,Drama
106.0,Virtuosity,Brett Leonard,"Action,Crime,Sci-Fi"
103.0,While You Were Sleeping,Jon Turteltaub,"Comedy,Drama,Romance"
126.0,The War,Jon Avnet,"Drama,History,War"
87.0,Double Happiness,Mina Shum,"Drama,Romance"
106.0,Muriel's Wedding,P.J. Hogan,"Comedy,Drama"
94.0,The Baby-Sitters Club,Melanie Mayron,"Comedy,Drama,Family"
86.0,Ace Ventura: Pet Detective,Tom Shadyac,Comedy
104.0,"The Adventures of Priscilla, Queen of the Desert",Stephan Elliott,"Comedy,Music"
100.0,Backbeat,Iain Softley,"Biography,Drama,Music"
139.0,Bitter Moon,Roman Polanski,"Drama,Romance,Thriller"
98.0,Bullets Over Broadway,Woody Allen,"Comedy,Crime"
141.0,Clear and Present Danger,Phillip Noyce,"Action,Crime,Drama"
119.0,The Client,Joel Schumacher,"Crime,Drama,Mystery"
115.0,"Corrina, Corrina",Jessie Nelson,"Comedy,Drama,Romance"
115.0,Crooklyn,Spike Lee,"Comedy,Drama"
102.0,The Crow,Alex Proyas,"Action,Crime,Drama"
128.0,Cobb,Ron Shelton,"Biography,Drama,Sport"
91.0,The Flintstones,Brian Levant,"Comedy,Family,Fantasy"
142.0,Forrest Gump,Robert Zemeckis,"Drama,Romance"
117.0,Four Weddings and a Funeral,Mike Newell,"Comedy,Drama,Romance"
127.0,Higher Learning,John Singleton,"Crime,Drama,Thriller"
104.0,I Like It Like That,Darnell Martin,"Comedy,Drama,Romance"
123.0,I Love Trouble,Charles Shyer,"Action,Comedy,Romance"
101.0,It Could Happen to You,Andrew Bergman,"Comedy,Drama,Romance"
111.0,The Jungle Book,Stephen Sommers,"Adventure,Family,Fantasy"
180.0,"The Wonderful, Horrible Life of Leni Riefenstahl",Ray Müller,"Biography,Documentary,History"
89.0,The Lion King,"Roger Allers, Rob Minkoff","Adventure,Animation,Drama"
140.0,Little Buddha,Bernardo Bertolucci,Drama
112.0,New Nightmare,Wes Craven,"Fantasy,Horror,Mystery"
101.0,The Mask,Chuck Russell,"Comedy,Crime,Fantasy"
127.0,Maverick,Richard Donner,"Action,Adventure,Comedy"
125.0,Mrs. Parker and the Vicious Circle,Alan Rudolph,"Biography,Drama"
83.0,The Naked Gun 33⅓: The Final Insult,Peter Segal,"Comedy,Crime"
112.0,The Paper,Ron Howard,"Comedy,Drama"
99.0,Reality Bites,Ben Stiller,"Comedy,Drama,Romance"
98.0,Red Rock West,John Dahl,"Crime,Drama,Thriller"
95.0,Ri¢hie Ri¢h,Donald Petrie,"Comedy,Family"
98.0,Safe Passage,Robert Allan Ackerman,Drama
111.0,The River Wild,Curtis Hanson,"Adventure,Crime,Thriller"
116.0,Speed,Jan de Bont,"Action,Adventure,Thriller"
99.0,Speechless,Ron Underwood,"Comedy,Romance"
99.0,Timecop,Peter Hyams,"Action,Crime,Sci-Fi"
141.0,True Lies,James Cameron,"Action,Comedy,Thriller"
126.0,When a Man Loves a Woman,Luis Mandoki,"Drama,Romance"
125.0,Wolf,Mike Nichols,"Drama,Horror,Romance"
191.0,Wyatt Earp,Lawrence Kasdan,"Adventure,Biography,Drama"
108.0,Bad Company,Damian Harris,"Crime,Drama,Thriller"
99.0,A Man of No Importance,Suri Krishnamma,"Comedy,Drama"
96.0,S.F.W.,Jefery Levy,"Comedy,Drama"
100.0,A Low Down Dirty Shame,Keenen Ivory Wayans,"Action,Comedy,Crime"
91.0,"Boys Life: Three Stories of Love, Lust, and Liberation","Robert Lee King, Raoul O'Connell, Brian Sloan",Drama
110.0,Colonel Chabert,Yves Angelo,"Drama,History,Romance"
83.0,"Faster, Pussycat! Kill! Kill!",Russ Meyer,"Action,Comedy"
119.0,Jason's Lyric,Doug McHenry,"Crime,Drama,Romance"
61.0,The Secret Adventures of Tom Thumb,Dave Borthwick,"Adventure,Animation,Drama"
102.0,Street Fighter,Steven E. de Souza,"Action,Adventure,Comedy"
92.0,Coldblooded,Wallace Wolodarsky,"Action,Comedy,Thriller"
97.0,Desert Winds,Michael A. Nickles,"Drama,Mystery,Romance"
88.0,Fall Time,Paul Warner,"Crime,Drama"
98.0,The Fear,Vincent Robert,Horror
89.0,Frank and Ollie,Theodore Thomas,Documentary
89.0,Girl in the Cadillac,Lucas Platt,"Adventure,Crime,Drama"
97.0,Homage,Ross Kagan Marks,"Crime,Drama,Thriller"
92.0,Mirage,Paul Williams,"Action,Thriller"
97.0,Open Season,Robert Wuhl,Comedy
0.0,Dos Crímenes,Roberto Sneider,"Comedy,Crime,Drama"
115.0,Brother Minister: The Assassination of Malcolm X,"Jefri Aalmuhammed, Jack Baxter",Documentary
99.0,Highlander: The Final Dimension,Andrew Morahan,"Action,Fantasy,Romance"
97.0,Federal Hill,Michael Corrente,"Crime,Drama"
95.0,In the Mouth of Madness,John Carpenter,"Drama,Fantasy,Horror"
105.0,8 Seconds,John G. Avildsen,"Biography,Drama,Sport"
96.0,Above the Rim,Jeff Pollack,"Crime,Drama,Sport"
94.0,Addams Family Values,Barry Sonnenfeld,"Comedy,Fantasy"
84.0,Martin Lawrence: You So Crazy,Thomas Schlamme,"Comedy,Documentary"
139.0,The Age of Innocence,Martin Scorsese,"Drama,Romance"
92.0,Airheads,Michael Lehmann,"Comedy,Crime,Music"
107.0,The Air Up There,Paul Michael Glaser,"Comedy,Family,Sport"
105.0,Another Stakeout,John Badham,"Comedy,Crime"
99.0,Bad Girls,Jonathan Kaplan,"Action,Adventure,Drama"
100.0,Barcelona,Whit Stillman,"Comedy,Drama,Romance"
122.0,Being Human,Bill Forsyth,"Comedy,Drama"
93.0,The Beverly Hillbillies,Penelope Spheeris,"Comedy,Family"
104.0,Beverly Hills Cop III,John Landis,"Action,Comedy,Crime"
88.0,Black Beauty,Caroline Thompson,"Adventure,Drama,Family"
106.0,Blink,Michael Apted,"Crime,Drama,Mystery"
